Variable.Name	Variable.Description	Code.or.Value	Value.Description
OHX28LAD	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	0 to 13	Range of Values
OHX28LAD	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	99	Cannot be assessed
OHX28LAD	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	.	Missing
OHX28LAL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measure	0 to 11	Range of Values
OHX28LAL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measure	99	Cannot be assessed
OHX28LAL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - Calculation of:  (FGM to sulcus base measure	.	Missing
OHX28LAM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measurem	0 to 14	Range of Values
OHX28LAM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measurem	99	Cannot be assessed
OHX28LAM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - Calculation of :  (FGM to sulcus base measurem	.	Missing
OHX28LAP	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement	0 to 11	Range of Values
OHX28LAP	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement	99	Cannot be assessed
OHX28LAP	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - Calculation of:  (FGM to CEJ measurement	.	Missing
OHX28LAS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measur	0 to 13	Range of Values
OHX28LAS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measur	99	Cannot be assessed
OHX28LAS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - Calculation of :  (FGM to sulcus base measur	.	Missing
OHX28PCA	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 9	Range of Values
OHX28PCA	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCA	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX28PCD	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)	0 to 10	Range of Values
OHX28PCD	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCD	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX28PCL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX28PCL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCL	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX28PCM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)	0 to 6	Range of Values
OHX28PCM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCM	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mid-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX28PCP	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	0 to 9	Range of Values
OHX28PCP	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCP	Loss of Attachment: Lower right 1st bicuspid/1st primary molar (1B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX28PCS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX28PCS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX28PCS	Loss of Attachment:  Lower right 1st bicuspid/1st primary molar (1B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29CJA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)	-10 to 2	Range of Values
OHX29CJA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29CJA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to CEJ measurement (mm)	.	Missing
OHX29CJD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)	-10 to 1	Range of Values
OHX29CJD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29CJD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to CEJ measurement (mm)	.	Missing
OHX29CJL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)	-10 to 1	Range of Values
OHX29CJL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29CJL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to CEJ measurement (mm)	.	Missing
OHX29CJM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)	-10 to 1	Range of Values
OHX29CJM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29CJM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29CJP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)	-10 to 2	Range of Values
OHX29CJP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29CJP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to CEJ measurement (mm)	.	Missing
OHX29CJS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)	-8 to 2	Range of Values
OHX29CJS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29CJS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to CEJ measurement (mm)	.	Missing
OHX29LAA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measur	0 to 13	Range of Values
OHX29LAA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measur	99	Cannot be assessed
OHX29LAA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-lingual - Calculation of:  (FGM to sulcus base measur	.	Missing
OHX29LAD	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	0 to 16	Range of Values
OHX29LAD	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	99	Cannot be assessed
OHX29LAD	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - Calculation of :  (FGM to CEJ measurement) - (FGM 	.	Missing
OHX29LAL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of:  (FGM to sulcus base measure	0 to 12	Range of Values
OHX29LAL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of:  (FGM to sulcus base measure	99	Cannot be assessed
OHX29LAL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - Calculation of:  (FGM to sulcus base measure	.	Missing
OHX29LAM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measurem	0 to 14	Range of Values
OHX29LAM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measurem	99	Cannot be assessed
OHX29LAM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - Calculation of :  (FGM to sulcus base measurem	.	Missing
OHX29LAP	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of:  (FGM to CEJ measurement	0 to 12	Range of Values
OHX29LAP	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of:  (FGM to CEJ measurement	99	Cannot be assessed
OHX29LAP	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - Calculation of:  (FGM to CEJ measurement	.	Missing
OHX29LAS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measur	0 to 12	Range of Values
OHX29LAS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measur	99	Cannot be assessed
OHX29LAS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - Calculation of :  (FGM to sulcus base measur	.	Missing
OHX29PCA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 10	Range of Values
OHX29PCA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29PCA	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29PCD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)	0 to 12	Range of Values
OHX29PCD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29PCD	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29PCL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 9	Range of Values
OHX29PCL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29PCL	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29PCM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)	0 to 10	Range of Values
OHX29PCM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX29PCM	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mid-facial - FGM to CEJ measurement (mm)	.	Missing
OHX29PCP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	0 to 10	Range of Values
OHX29PCP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29PCP	Loss of Attachment: Lower right 2nd bicuspid/2nd primary molar (2B) distal - lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX29PCS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX29PCS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX29PCS	Loss of Attachment:  Lower right 2nd bicuspid/2nd primary molar (2B) mesio-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30CJA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)	-10 to 2	Range of Values
OHX30CJA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX30CJA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to CEJ measurement (mm)	.	Missing
OHX30CJD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to CEJ measurement (mm)	-12 to 2	Range of Values
OHX30CJD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX30CJD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to CEJ measurement (mm)	.	Missing
OHX30CJL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	-10 to 1	Range of Values
OHX30CJL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30CJL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30CJM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)	-6 to 2	Range of Values
OHX30CJM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX30CJM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to CEJ measurement (mm)	.	Missing
OHX30CJP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)	-11 to 2	Range of Values
OHX30CJP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX30CJP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to CEJ measurement (mm)	.	Missing
OHX30CJS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)	-8 to 2	Range of Values
OHX30CJS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX30CJS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to CEJ measurement (mm)	.	Missing
OHX30LAA	Loss of Attachment:  Lower right 1st molar (1M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	0 to 12	Range of Values
OHX30LAA	Loss of Attachment:  Lower right 1st molar (1M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	99	Cannot be assessed
OHX30LAA	Loss of Attachment:  Lower right 1st molar (1M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	.	Missing
OHX30LAD	Loss of Attachment:  Lower right 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	0 to 12	Range of Values
OHX30LAD	Loss of Attachment:  Lower right 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	99	Cannot be assessed
OHX30LAD	Loss of Attachment:  Lower right 1st molar (1M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	.	Missing
OHX30LAL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - LCalculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	0 to 12	Range of Values
OHX30LAL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - LCalculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	99	Cannot be assessed
OHX30LAL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - LCalculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	.	Missing
OHX30LAM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - LCalculation of :  (FGM to sulcus base measurement) - (FGM to CEJ m	0 to 12	Range of Values
OHX30LAM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - LCalculation of :  (FGM to sulcus base measurement) - (FGM to CEJ m	99	Cannot be assessed
OHX30LAM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - LCalculation of :  (FGM to sulcus base measurement) - (FGM to CEJ m	.	Missing
OHX30LAP	Loss of Attachment:  Lower right 1st molar (1M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	0 to 13	Range of Values
OHX30LAP	Loss of Attachment:  Lower right 1st molar (1M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	99	Cannot be assessed
OHX30LAP	Loss of Attachment:  Lower right 1st molar (1M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	.	Missing
OHX30LAS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	0 to 12	Range of Values
OHX30LAS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	99	Cannot be assessed
OHX30LAS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	.	Missing
OHX30PCA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 7	Range of Values
OHX30PCA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCA	Loss of Attachment:  Lower right 1st molar (1M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30PCD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX30PCD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCD	Loss of Attachment: Lower right 1st molar (1M) distal - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30PCL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX30PCL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCL	Loss of Attachment:  Lower right 1st molar (1M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30PCM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)	0 to 9	Range of Values
OHX30PCM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCM	Loss of Attachment:  Lower right 1st molar (1M) mid-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30PCP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)	0 to 10	Range of Values
OHX30PCP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCP	Loss of Attachment: Lower right 1st molar (1M) distal - lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX30PCS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
OHX30PCS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX30PCS	Loss of Attachment:  Lower right 1st molar (1M) mesio-facial - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX31CJA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)	-8 to 2	Range of Values
OHX31CJA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to CEJ measurement (mm)	.	Missing
OHX31CJD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to CEJ measurement (mm)	-6 to 1	Range of Values
OHX31CJD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to CEJ measurement (mm)	.	Missing
OHX31CJL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)	-8 to 2	Range of Values
OHX31CJL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to CEJ measurement (mm)	.	Missing
OHX31CJM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)	-8 to 1	Range of Values
OHX31CJM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - FGM to CEJ measurement (mm)	.	Missing
OHX31CJP	Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)	-8 to 2	Range of Values
OHX31CJP	Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJP	Loss of Attachment: Lower right 2nd molar (2M) distal - lingual - FGM to CEJ measurement (mm)	.	Missing
OHX31CJS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)	-6 to 2	Range of Values
OHX31CJS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)	99	Cannot be assessed
OHX31CJS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - FGM to CEJ measurement (mm)	.	Missing
OHX31LAA	Loss of Attachment:  Lower right 2nd molar (2M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	0 to 11	Range of Values
OHX31LAA	Loss of Attachment:  Lower right 2nd molar (2M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	99	Cannot be assessed
OHX31LAA	Loss of Attachment:  Lower right 2nd molar (2M) mesio-lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ 	.	Missing
OHX31LAD	Loss of Attachment:  Lower right 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	0 to 11	Range of Values
OHX31LAD	Loss of Attachment:  Lower right 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	99	Cannot be assessed
OHX31LAD	Loss of Attachment:  Lower right 2nd molar (2M) distal - Calculation of :  (FGM to CEJ measurement) - (FGM to sulcus base measur	.	Missing
OHX31LAL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ m	0 to 14	Range of Values
OHX31LAL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ m	99	Cannot be assessed
OHX31LAL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - Calculation of:  (FGM to sulcus base measurement) - (FGM to CEJ m	.	Missing
OHX31LAM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ me	0 to 12	Range of Values
OHX31LAM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ me	99	Cannot be assessed
OHX31LAM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ me	.	Missing
OHX31LAP	Loss of Attachment:  Lower right 2nd molar (2M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	0 to 13	Range of Values
OHX31LAP	Loss of Attachment:  Lower right 2nd molar (2M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	99	Cannot be assessed
OHX31LAP	Loss of Attachment:  Lower right 2nd molar (2M) distal - lingual - Calculation of:  (FGM to CEJ measurement) - (FGM to sulcus ba	.	Missing
OHX31LAS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	0 to 12	Range of Values
OHX31LAS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	99	Cannot be assessed
OHX31LAS	Loss of Attachment:  Lower right 2nd molar (2M) mesio-facial - Calculation of :  (FGM to sulcus base measurement) - (FGM to CEJ 	.	Missing
OHX31PCA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 7	Range of Values
OHX31PCA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX31PCA	Loss of Attachment:  Lower right 2nd molar (2M) mesio- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX31PCD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)	0 to 9	Range of Values
OHX31PCD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX31PCD	Loss of Attachment: Lower right 2nd molar (2M) distal - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX31PCL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	0 to 7	Range of Values
OHX31PCL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	99	Cannot be assessed
OHX31PCL	Loss of Attachment:  Lower right 2nd molar (2M) mid- lingual - FGM to sulcus base (pocket depth) (mm)	.	Missing
OHX31PCM	Loss of Attachment:  Lower right 2nd molar (2M) mid-facial - FGM to sulcus base (pocket depth) (mm)	0 to 8	Range of Values
